"Rank","Song","Artist","Year","Lyrics","Source"
"25","paralyzer","finger eleven","2008","  i hold on so nervously to me and my drink i wish it was coolin me but so far has not been good its been shitty and i feel awkward as i should this club has got to be the most pretentious thing since i thought you and me well i am imagining a dark lit place put your place on my placewell im not paralyzed but i seem to be struck by you i wanna make you move because youre standin still if your body matches what your eyes can do youll probably move right through me on my way to you   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           i hold out for one more drink before i think im lookin too desperately but so far has not been fun i should just stay home if one thing really means one this club will hopefully be closed in three weeks that would be cool with me well im still imagining a dark lit place put your place on my placewell im not paralyzed but i seem to be struck by you i wanna make you move because youre standin still if your body matches what your eyes can do youll probably move right through me on my way to youwell im not paralyzed but i seem to be struck by you i wanna make you move because youre standin still if your body matches what your eyes can do    photos                                   youll probably move right through me on my way to you not paralyzed but i seem to be struck by you i wanna make you move because youre standin still if your body matches what your eyes can do youll probably move right through me on my way to you youll probably move right through me on my way to you youll probably move right through me on my way to you          ",1
"26","clumsy","fergie","2008","  she cant help it the girl cant help it oh baby she cant help it the girl cant help it oh baby she cant help it the girl cant help it oh baby she cant help itthe first time that i saw your eyes boy you looked right through me mmm mmm play it cool but i knew you knew that cupid hit me mmm mmmyou got me trippin stumblin flippin fumblin clumsy cause im fallin in love in love you got me slippin tumblin sinkin fumblin clumsy cause im fallin in love in love so in love with you   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           she cant help it the girl cant help it oh baby she cant help it the girl cant help it oh no she cant help it the girl cant help it oh how she cant help itcant breath when you touch my sleeve butterflies so crazy ummm ummm whoa now think im goin down friends dont know whats with me mmm mmmyou got me trippin stumblin flippin fumblin clumsy cause im fallin in love in love you got me slippin tumblin sinkin fumblin clumsy cause im fallin in love in love so in love with you    photos                                   she cant help it the girl cant help it oh no she cant help it the girl cant help it oh please she cant help it the girl cant help it no no she cant help ityou know this isnt the first time this has happened to me this love sick thing i like serious relationships and uh a girl like me dont stay single for long cause every time a boyfriend and i break up my world is crushed and im all alone the love bug crawls right back up and bites me and im backshe cant help it the girl cant help it in love she cant help it the girl cant help it oh god she cant help it the girl cant help it im back in love girl cant help it woo hoo hoo she cant help it the girl cant help it im back in love yeah she cant help it the girl cant help it im back in love yeah baby she cant help it the girl cant help it im back in love yeahyou got me trippin stumblin flippin fumblin clumsy cause im fallin in love in love you got me slippin tumblin sinkin fumblin clumsy cause im fallin in love in love so in love with youyou got me trippin stumblin flippin fumblin clumsy cause im fallin in love in love you got me slippin tumblin sinkin fumblin clumsy cause im fallin in love in love so in love with you         ",1
"27","im yours","jason mraz","2008","  well you done done me and you bet i felt it i tried to be chill but youre so hot that i melted i fell right through the cracks now im trying to get backbefore the cooldone run out ill be giving it my bestest and nothings gonna stop me but divine intervention i reckon its again my turn to win some or learn somebut i wont hesitate no more no more it cannot wait im yourswell open up your mind and see like me open up your plans and damn youre free look into your heart and youll find love love love lovelisten to the music of the moment people dance and sing were just one big family and its our godforsaken right to be loved loved loved loved loved   related           the best karaoke songs ever ranked       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           so i wont hesitate no more no more it cannot wait im sure theres no need to complicate our time is short this is our fate im yoursdoo ch doo doo doo joo ba doo ja doo ja doo doo ba do you want to come on a scooch on over closer dear and i will nibble your eara soon da ba ba boom ba baum whoa whoaive been spending way too long checking my tongue in the mirror and bending over backwards just to try to see it clearer but my breath fogged up the glass and so i drew a new face and i laughedi guess what ill be saying is there aint no better reason to rid yourself of vanities and just go with the seasons its what we aim to do our name is our virtue    photos                                   but i wont hesitate no more no more it cannot wait im yourswell open up your mind and see like me open up your plans and damn youre free look into your heart and youll find that the sky is yoursso please dont please dont please dont theres no need to complicate cause our time is short this oh this oh this is our fate im yours          ",1
"28","leavin","jesse mccartney","2008","  im leavin never lookin back again you found somebody who does it better than he can no more makin you cry no more them gray skies girl we flyin on the g5 g5and were leavin never lookin back again so call your shawty and tell him you found a new man the one whos so so fly the one that keep you high have you singin all night night night night nightoh oh oh oh oh oh man she gon be singin oh oh oh oh singin all night night night night oh oh oh   related           songs you love if you love nerds       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh oh oh oh oh oh man she gon be singin oh oh oh she gon be singin uh she gon be singin oh oh oh she gon be singin girl you gon be singin     photos                                            ",1
"29","dangerous","kardinal offishall featuring akon","2008","  girl i can notice but to notice you noticin me from across the roomi can see it that cant stop myself from lookin and noticin you noticin me watch out ive seen her type before that girl is so dangerousthat girl is so dangerous that girl is a bad girl ive seen her type before shes so dangerous that girl is so dangerous that girl is a bad girl yeah   related           the 18 greatest revenge songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh yeah thats her the big dog tryin to get her little kitty to purr next man lookin at me like im lucifer cause he knows i will deal with the case yes sir if i was the last man i earth i would only take that girl end the searchshell give a new definition to the word curve got chicks in the strip club envyin hers bodies like what is a mass irruptions sit the glass on that fat obstruction tongue game give a new type seduction im tryin to get back her somethinggirl i can notice but to notice you noticin me from across the room i can see it that cant stop myself from lookinand noticin you noticin me watch out ive seen her type before that girl is so dangerous that girl is so dangerous    photos                                   that girl is a bad girl ive seen her type before shes so dangerous that girl is so dangerous that girl is a bad girl yeahoh bad to the bone everything locked like a two three zone i wanna make my black snake moan talk a little bit then take that off shes bad and she know the deal thats what i cant hide when she wanna conceal i meanmakin good and havin big put together and close to the jibby i see no no no disrespect but this killer from another level cut the checkaw tell king mac stop the press say kid can i get a witnessgirl i can notice but to notice you noticin me from across the roomi can see it that cant stop myself from lookin and noticin you noticin me watch out ive seen her type before that girl is so dangerousthat girl is so dangerous that girl is a bad girl ive seen her type before shes so dangerous that girl is so dangerous that girl is a bad girl yeahi see you got that fire by the way that your walkin from left to right i watched her go down girl i just want it right now dont wanna do no talkin shawtys so right i need to slow downfigure 8 good body shape when she on the dance floor tell em i rip when she do her thing man cant watch shit that beat soak up everything our gribbad heels like jessica p im tryin to give homegirl sex and the cittittittity itty bitty waistline moves with the baseline one look ill punch im finegirl i can notice but to notice you noticin me from across the roomi can see it that cant stop myself from lookin and noticin you noticin me watch out ive seen her type before that girl is so dangerous that girl is so dangerousthat girl is a bad girl ive seen her type before shes so dangerous that girl is so dangerous that girl is a bad girl yeah         ",1
"30","tattoo","jordin sparks","2008","  no matter what you say about lovei keep coming back for more keep my hand in the fire sooner or later i get what im asking for no matter what you say about lifei learn every time i bleed the truth is a stranger soul is in danger i gotta let my spirit be free to admit that im wrong and then change my mind sorry but i have to move on and leave you behindi cant waste time so give it a moment i realize nothings broken no need to worry about everything ive done live every second like it was my last one dont look back got a new direction   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           i loved you once needed protection youre still a part of everything i do youre on my heart just like a tattoo just like a tattooill always have you ill always have you ill always have you i sick of playing all of these games its not about taking sideswhen i looked in the mirror didnt deliver it hurt enough to think that i could stop admit that im wrong and then change my mindsorry but ive gotta be strong and leave you behind i cant waste time so give it a moment i realize nothings broken no need to worry about everything ive done live every second like it was my last one dont look back got a new directioni loved you once needed protection    photos                                   youre still a part of everything i do youre on my heart just like a tattoo just like a tattoo ill always have youill always have you if i live every moment wont change any moment still a part of me in youi will never regret you still the memory of you marks everything i do cant waste time so give it a momenti realize nothings broken no need to worry about everything ive done live every second like it was my last one dont look back got a new directioni loved you once needed protection youre still a part of everything i do youre on my heart just like a tattoo cant waste time so give it a moment i realized nothings broken no need to worry about everything ive done live every second like it was my last one dont look back got a new direction i loved you once and i needed protection youre still a part of everything i do youre on my heart just like a tattoo just like a tattoo ill always have you         ",1
"31","see you again","miley cyrus","2008","    related           the 18 greatest revenge songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke               photos                                            ",1
"32","shake it","metro station","2008","  lets drop yeah come onshake shake ill take you home if you dont leave me at the front doorleave me at the front dooryour bodys coldbut girl were getting so warmand i was thinking of ways that i could get inside get inside    related           the best karaoke songs ever ranked       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           tonight youre falling in love let me go now this feelings tearing me up here we go now now if she does it like this will you do it like that now if she touches like this will you touch her right back now if she moves like this will you move like that come on shake shake shake shake shake it your lips tremble but your eyes are in a straight stare in a straight stare were on the bed but your clothes are laying right there and i was thinking of places that i could hide i could hide tonight youre falling in love let me go now this feelings tearing me up here we go now now if she does it like this will you do it like that now if she touches like this will you touch her right back now if she moves like this will you move like that come on shake shake shake shake shake it i saw you dancing there i couldnt get you off my mind but i could tell that you could tell that i was taking my time but i was thinking of ways to get you staying the night your bodys shaking turn me on so i can turn off the lights now if she does it like this will you do it like that now if she touches like this will you touch her right back now if she moves like this will you move like that come on shake shake shake shake shake it shake shake shake shake shake it x3    photos                                            ",1
"33","stop and stare","onerepublic","2008","this town is colder now i think its sick of us its time to make our move im shaking off the rust ive got my heart set on anywhere but here im staring down myself counting up the years steady hands just take the wheel and every glance is killing me time to make one last appeal for the life i lead stop and stare i think im moving but i go nowhere yeah i know that everyone gets scared but ive become what i cant be oh stop and stare you start to wonder why youre here not there and youd give anything to get whats fair but fair aint what you really need oh can you see what i see theyre trying to come back all my senses push untie the weight bags i never thought i could steady feet dont fail me now imma run til you cant walk something pulls my focus out and im standing down stop and stare i think im moving but i go nowhere yeah i know that everyone gets scared but ive become what i cant be oh stop and stare you start to wonder why youre here not there and youd give anything to get whats fair but fair aint what you really need oh you dont need what you need what you need stop and stare i think im moving but i go nowhere yeah i know that everyone gets scared but ive become what i cant be oh do you see what i see",2
"34","take you there","sean kingston","2008","  we can go to the tropics sip pina coladas shawty i could take you thereor we can go to the slums where killas get hung shawty i could take you there you know i could take ya i could take ya i could take ya i could take ya shawty i could take you there you know i could take ya i could take ya i could take yai could take ya shawty i could take you there baby girl i know its rough but come with me we can take a trip to the hood its no problem girl its my city   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           i could take you therelittle kid wit guns only 15 roam in the streets up to no good when gun shots just watch us run quickly i could show you where as long as youre with me baby youll be alrightim known in the ghetto girl just stay by my sideor we can leave the slums go to paradise baby its up to you its whatever you likewe can go to the tropics sip pina coladas shawty i could take you there    photos                                   or we can go to the slums where killas get hung shawty i could take you there you know i could take ya i could take ya i could take ya i could take ya shawty i could take you there you know i could take ya i could take ya i could take yai could take ya shorty i could take you thereshawty come with me its no worry i know the bad men dem where they ah stay police fly pursuit in a hurry this is no gun playdont be scared in a deh west indies its jamaica dats where im from might see something that youre not used towelcome to da slums as long as youre with me baby youll be alright im known in the ghetto girl just stay by my sideor we can leave the slums go to paradise baby its up to you its whatever you like  we can go to the tropicssip pina coladas shawty i could take you there or we can go to the slums where killas get hung shawty i could take you there you know i could take ya i could take yai could take ya i could take ya shawty i could take you there you know i could take ya i could take ya i could take yai could take ya shawty i could take you there or we oh we can go can goto a place to a place i know you gonna like oh oh oh the beach the beach the breeze the breeze west indies i call it paradise  we can go to the tropics sip pina coladas shawty i could take you there or we can go to the slums where killas get hung shawty i could take you there you know i could take ya i could take ya i could take ya i could take ya shawty i could take you there you know i could take ya i could take ya i could take yai could take ya shawty i could take you there         ",1
"35","paper planes","mia","2008","  i fly like paper get high like planes if you catch me at the border i got visas in my name if you come around here i make em all day i get one done in a second if you wait i fly like paper get high like planes if you catch me at the border i got visas in my name if you come around here i make em all day i get one done in a second if you waitsometimes i think sittin on trains every stop i get to im clocking that game everyones a winner were making our fame bona fide hustler making my name sometimes i think sittin on trains every stop i get to im clocking that game everyones a winner were making our fame bona fide hustler making my name   related           the 18 greatest revenge songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money    photos                                   pirate skulls and bones sticks and stones and weed and bongs running when we hit em lethal poison for the system pirate skulls and bones sticks and stones and weed and bongs running when we hit em lethal poison for the systemno one on the corner has swagger like us hit me on my burner prepaid wireless we pack and deliver like ups trucks already going to hell just pumping that gas no one on the corner has swagger like us hit me on my burner prepaid wireless we pack and deliver like ups trucks already going to hell just pumping that gasall i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your moneymia third world democracy yeah ive got more records than the kgb so uh no funny businesssome some some i some i murder some i some i let go some some some i some i murder some i some i let goall i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money all i wanna do is bang bang bang bang and click kaching and take your money         ",1
"36","hot n cold","katy perry","2008","  you change your mind like a girl changes clothes yeah you pms like a bitch i would know and you over think always speak cryptically i should know that youre no good for mecause youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre downyoure wrong when its right its black and its white we fight we break up we kiss we make upyou you dont really wanna stay no you but you dont really wanna goo   related           23 boy band slow jams that made you believe in love       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre downwe used to be just like twins so in sync the same energy nows a dead battery used to laugh bout nothing now youre plain boring i should know that youre not gonna changecause youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre downyoure wrong when its right its black and its white we fight we break up we kiss we make up    photos                                   you you dont really wanna stay no you but you dont really wanna gooyoure hot then youre cold youre yes then youre no youre in then youre out youre up then youre downsomeone call the doctor got a case of a love bipolar stuck on a roller coaster cant get off this rideyou change your mind like a girl changes clothescause youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre downyoure wrong when its right its black and its white we fight we break up we kiss we make upyoure hot then youre cold youre yes then youre no youre in then youre out youre up then youre downyoure wrong when its right its black and its white we fight we break up we kiss we make upyou you dont really wanna stay no you but you dont really wanna gooyoure hot then youre cold youre yes then youre no youre in then youre out youre up then youre down         ",1
"37","live your life","ti featuring rihanna","2008","  rihanna youre gonna be a shining star fancy clothes fancy carars and then youll see youre gonna go far cause everyone knows who you areare so live your life ay ay ay intead of chasing that paper just live your life oh ay ay ay aint got no time for no haters just live your life oh ay ay ay no telling where itll take you just live your life oh ay ay ay cause im a paper chaser just living my life ay my life oh my life ay my life oh just living my life ay my life oh my life ay my life oh ti nevermind what haters say ignore them til they fade away amazing they ungrateful after all the games i gave away safe to say i payed the way for you cats to get paid today you still be wasting days away nah had i never saved the day consider them my protege homage i think they should pay instead of being gracious they violated in a major wayi never been a hater still i love them yeah i graze the way some say they so yay and no they couldnt even work on labor day it aint that they black or white their hands of area in shades of grey im west side anyway even if i left the day it fades away some move away to make a way not move away cause they afraid ill go back to the hood and all you ever did was hate away i pray for patience but they make me want to face away   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           like i once made them scream now i could make them plead their case away been thuggin all my life cant say i dont deserve to take a break if you ever see me catch a case and watch my future fade away rihanna youre gonna be a shining star fancy clothes fancy carars and then youll see youre gonna go far cause everyone knows who you areare so live your life ay ay ay instead of chasing that paper just live your life oh ay ay ay aint got no time for no haters just live your life oh ay ay ayno telling where itll take you    photos                                   just live your life oh ay ay ay cause im a paper chaser just living my life ti im the opposite of moderate immaculately polished with the spirit of a hustler and the swagger of a college kid allergic to the counterfeit impartial to the politics articulate but still would grab a nigga by the collar quick whoever had problems they reckoncile they just holla tip if that dont work and just fails then turn around and follow tip i got love for the game but ay im not in love with all of it i do without the fame and the rappers nowadays are comedy the hootin and the hollerin back and forth with the arguing where you from who you know what you make and what kind of car you inseems as though you lost sight of whats important when depositing your checks into your bank account and youre about povertedyour values is a disarrayed prioritized are horribly unhappy with the riches cause you piss poor morraly ignoring all prior advice and fore warning and we might be full of ourselves all of a sudden arent we rihanna youre gonna be a shining star fancy clothes fancy carars and then youll see youre gonna go far cause everyone knows who you areare so live your life ay ay ay instead of chasing that paper just live your life oh ay ay ay aint got no time for no haters just live your life oh ay ay ay no telling where itll take you just live your life oh ay ay aycause im a paper chaser just living my life ay my life oh my life ay my life oh just living my life ay my life oh my life ay my life oh so live your life         ",1
"38","bust it baby part 2","plies featuring neyo","2008","    related           the best karaoke songs ever ranked       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke               photos                                            ",1
"39","american boy","estelle featuring kanye west","2008","  just another one champion sound yeah estelle we bout to get down get down who the hottest in the world right now just touched down in london townbet they give me a pound tell them put the money in my hand right now tell the promoter we need more seats we just sold out all the floor seatstake me on a trip id like to go some day take me to new york id love to see la i really want to come kick it with you youll be my american boyhe said hey sister its really really nice to meet you i just met this foot guy whos just my type i like the way hes speaking his confidence is peaking dont like his baggy jeans but imma like whats underneath them   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           and no i aint been to mia i heard that cali never rains and new yorks heart awaits first lets see the west end ill show you to my brethren im liking this american boy american boytake me on a trip id like to go some day take me to new york id love to see la i really want to come kick it with you youll be my american boy american boywould you be my american boy american boycan we get away this weekend take me to broadway lets go shopping baby then well go to a cafe lets go on the subway take me to your hood i never been to brooklyn and id like to see whats gooddress in all your fancy clothes sneakers looking fresh to death im loving those shell toes walking that walk talk that slick talk im liking this american boy american boy    photos                                   take me on a trip id like to go some day take me to new york id love to see la i really want to come kick it with you youll be my american boytell em wagwan bludwho killing em in the uk everybody gonna say you k reluctantly cause most of this press dont fuck with meestelle once said to me cool down down dont act a fool now now i always act a fool oww oww aint nothing new now nowhe crazy i know what ya thinking ribena i know what youre drinking rap singer chain blinger holla at the next chick soon as youre blinkingwhats your persona about this americana brama am i shallow cause all my clothes designerdressed smart like a london bloke before he speak his suit bespoke and you thought he was cute before look at this peacoat tell me hes brokeand i know you aint into all that i heard your lyrics i feel your spirit but i still talk that caash cause a lot wags wanna hear itand im feeling like mike at his baddest like the pips at they gladys and i know they love it so to hell with all that rubbishwould you be my love my love would you be mine would you be my love my love would you be mine could you be my love my love oh would you be my american boy american boytake me on a trip id like to go some day take me to chicago san francisco bay i really want to come kick it with you youll be my american boy american boytake me on a trip id like to go some day take me to new york id love to see la i really want to come kick it with you youll be my american boy american boy         ",1
"40","got money","lil wayne featuring tpain","2008","  yeah yeah i need a winndixie grocery bag full of money whoo right now to the vip section whoo you got young mula in the house tonight baby yeah yeah haha yeah young ayhey young young young young mula babyif you got money yeah and you know it yeah then take it out your pocket and show it then throw it like fly thisaway fly thataway fly thisaway fly thataway if you getting mugged from everybody you see then hang over the wall of the vip like fly thisaway fly thataway fly thisaway fly thataway   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           now i was bouncing through the club she love the way i diddybop i see her boyfriend hatin like a city cop now i aint never been a chicken but my fifty cocked say i aint never been a chicken but my semi cocked now where your bar at im tryna rent it out and we so bout it bout it now what are you about dj showin love he say my name when the music stop young money lil wayne then the music drop i make it snow i make it flurry i make it all back tomorrow dont worry yeah its young wayne on the hoes aka mr makeitrainonthemhoes young money    photos                                   if you got money yeah and you know it yeah then take it out your pocket and show it then throw it like fly thisaway fly thataway fly thisaway fly thataway if you getting mugged from everybody you see then hang over the wall of the vip like fly thisaway fly thataway fly thisaway fly thatawaystreets it go one for the money two for the show now clap your hands if you got a bank roll chris like some clap on lights in this bitch imma be clappin all night in this bitch lights off mask on creep silent she smiling he muggin who cares cause my goons are right here like its nothing to a big dog and im a great dane i wear 8 chains i mean so much ice they yell skate wayne she wanna fuck weezy but she wanna rape wayne and imma let herif you got money yeah and you know it yeah then take it out your pocket and show it then throw it like fly thisaway fly thataway fly thisaway fly thataway if you getting mugged from everybody you see then hang over the wall of the vip likeokay its young wayne on these hoes aka mr makeitrainonthemhoes like ayyy and everybody say mr rainman can we have a rainy day bring an umbrella please bring an umbrella ella ella ella ayyy bitch aint shit but a ho and a trick but you know it aint trickin if you got it you know we aint fuckin if you not thick and ill cool your ass down if you think youre hot shit so rolex watch this i do it four five six my clickclack goes the black fourfifth and just like it ill blow that shit cause bitch im the bomb like tick tick biatchif you got money yeah and you know it yeah then take it out your pocket and show it then throw it like fly thisaway fly thataway fly thisaway fly thataway if you getting mugged from everybody you see then hang over the wall of the vip like fly thisaway fly thataway fly thisaway fly thatawayyeah its young wayne on the hoes aka mr makeitrainonthemhoes yeah young wayne on the hoes make a stripper fall in love tpain on them hoes uhhuh um young mula baby         ",1
"41","our song","taylor swift","2008","  i was ridin shotgun with my hair undone in the front seat of his car hes got a onehand feel on the steering wheel the other on my hearti look around turn the radio down he says baby is somethin wrong i say nothin i was just thinkin how we dont have a song and he says   related           songs that will make you cry uncontrollably       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           our song is the slammin screen doorsneakin out late tappin on your windowwhen were on the phone and you talk real slowcause its late and your mama dont know our song is the way you laugh the first date man i didnt kiss her and i should have and when i got home fore i said amen askin god if hecould play it again i was walkin up the front porch steps    photos                                   after everything that day had gone all wrong or been trampled on and lost and thrown awaygot to the hallway well on my way to my lovin bed i almost didnt noticeall the roses and the note that said our song is the slammin screen door sneakin out late tappin on your window when were on the phone and you talk real slow cause its late and your mama dont know our song is the way you laugh the first date man i didnt kiss her and i should have and when i got home fore i said amen askin god if he could play it again ive heard every album listened to the radio waited for something to come along that was as good as our song cause our song is the slammin screen door sneakin out late tappin on his window when were on the phone and he talks real slow cause its late and his mama dont know our song is the way he laughs the first date man i didnt kiss him and i should have and when i got home before i said amen askin god if he could play it again play it again i was ridin shotgun with my hair undone in the front seat of his car i grabbed a pen and an old napkin and i wrote down our song         ",1
"42","damaged","danity kane","2008","  do do you got a first aid kit handy do do you know how to patch up a wound tell me are you patient understanding cause i might need some time to clear the hold in my heart and i ive tried every remedy and nothing seems to work for me baby baby this situation is driving me crazy and i really wanna be your lady but the one before you left me so damaged damaged damaged damaged i thought that i should let you know   related           can you guess the song by the emojis       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           that my heart is damaged damaged so damaged and you can blame the one before so how you gonna fix it fix it fix it how you gonna fix it fix it fix it baby i gotta know what you are gonna do how you gonna fix it fix it fix it baby i gotta know what you are gonna do how you gonna fix it fix it fix it baby i gotta know what you are gonna do    photos                                   do do you got a first aid kit handy do do you know how to patch up a wound tell me are you patient understanding cause i might need some time to clear the hold in my heart and i you try to gain my trust talking is not enough actions speak louder than words you gotta show me something my heart is missing some pieces i need this puzzle put together againcan you fix my heart cause it damaged can you fix my heart tell me are you up for the challenge cause my heart isdamaged damaged i thought that i should let you know that my heart is damaged so damaged and you can blame the one beforedamaged damaged i thought that i should let you know that my heart is damaged so damaged and you can blame the one before so how you gonna fix it fix it fix it how you gonna fix it fix it fix it how you gonna fix it fix it fix it how you gonna fix it fix it fix itmy heart is damaged damaged damagedmy heart is damaged damaged damagedmy heart is damaged damaged damagedmy heart is damaged damaged damagedmy heart is damaged         ",1
"43","a milli","lil wayne","2008","  young money you dig mack im going ina millionaire im a young money millionaire tougher than nigerian hair my criteria compared to your career just isnt fair im a venereal disease like a menstrual bleed through the pencil i leak on the sheet of the tablet in my mind cause i dont write shit cause i aint got time cause my seconds minutes hours go to the almighty dollar and the almighty power of that chchachachopper sister brother son daughter father motherfuck a copper got the maserati dancing on the bridge pussy poppin tell the coppers hahahaha you cant catch him you cant stop him i go by them goon rules if you cant beat em then you pop em you cant man em then you mop em you cant stand em then you drop em you pop em cause we pop em like orville redenbacher   related           can you guess the song by the emojis       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           motherfucker im illa million here a million there sicilian bitch with long hair with coke in her derriere like smoke in the thinnest air i open the lamborghini hopin them crackers see me like look at that bastard weezy hes a beast hes a dog hes a mothafuckin problem okay youre a goon but whats a goon to a goblin nothin nothin you aint scaring nothin on some faggot bullshit call em dennis rodman call me what you want bitch call me on my sidekick never answer when its private damn i hate a shy bitch dont you hate a shy bitch yeah i ate a shy bitch and she aint shy no more she changed her name to my bitch yeah nigga thats my bitch so when she ask for the money when you through dont be surprised bitch it aint trickin if you got it but you like a bitch with no ass you aint got shit motherfucker im ill not sick and im okay but my watch sick yeah my drop sick yeah my glock sick and my knot thick im it    photos                                   motherfucker im illthey say im rappin like big jay and 2pac andre 3000 where is erykah badu at who that who that said they gon beat lil wayne my name aint bic but i keep that flame man who that one that do that boy you knew that true that swallow and i be the shit now you got loose bowels i dont owe you like two vowels but i would like for you to pay me by the hour and id rather be pushing flowers than to be in the pen sharing showers tony told us this world was ours and the bible told us every girl was sour dont play in her garden and dont smell her flower call me mr carter or mr lawn mower boy i got so many bitches like im mike lowrey even gwen stefani said she couldnt doubt me motherfucker i say life aint shit without me chrome lips poking out the coupe look like its pouting i do what i do and you do what you can do about it bitch i can turn a crack rock into a mountain dare me dont you compare me cause there aint nobody near me they dont see me but they hear me they dont feel me but they fear me im illy c3 3 peat         ",1
"44","sorry","buckcherry","2008","  oh i had a lot to say was thinkingon my time away i missed you and things werent the same cause everything insideit never comes out right and when i see you cry it makes me want to die im sorry im bad im sorry im blue im sorry about all things i said to you and i know i cant take it back i love how you kiss i love all youre sounds   related           11 delicious misheard lyrics about food       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           and baby the way you make my world go round and i just wanted to sayim sorry this time i think im to blame its harder to get through the daysyou get older and blame turns to shame cause everything inside it never comes out right and when i see you cry it makes me want to die im sorry im bad im sorry im blue im sorry about all things i said to you and i know i cant take it back    photos                                   i love how you kiss i love all your sounds and baby the way you make my world go round and i just wanted to say yeah yeahim sorry every single day i think about how we came all this way the sleepless nights and the tears you cried its never too late to make it right oh yeah sorry im sorry im badim sorry im blue im sorry about all things i said to you and i know i cant take it back i love how you kiss i love all youre sounds and baby the way you make my world go round and i just wanted to say im sorry im sorry baby  im sorry baby im sorry         ",1
